Regions;Year;Technology;Electricity Installed Capacity (MW);log_expol;area_potential;tech_potential
AUT;2000;Onshore wind energy;50.0;;27734.018066215565;24544.605988600775
AUT;2000;Solar photovoltaic;5.0;;90958.46100452187;80498.23798900185
AUT;2001;Onshore wind energy;67.0;;27734.018066215565;24683.276078931853
AUT;2001;Solar photovoltaic;7.0;;90958.46100452187;80953.03029402447
AUT;2002;Onshore wind energy;109.0;;27734.018066215565;24821.94616926293
AUT;2002;Solar photovoltaic;9.0;;90958.46100452187;81407.82259904707
AUT;2003;Onshore wind energy;322.0;;27734.018066215565;24960.616259594008
AUT;2003;Solar photovoltaic;23.0;;90958.46100452187;81862.61490406969
AUT;2004;Onshore wind energy;581.0;;27734.018066215565;25099.286349925085
AUT;2004;Solar photovoltaic;27.0;;90958.46100452187;82317.4072090923
AUT;2005;Onshore wind energy;825.219;;27734.018066215565;25237.956440256166
AUT;2005;Solar photovoltaic;21.018;;90958.46100452187;82772.19951411491
AUT;2006;Onshore wind energy;968.269;;27734.018066215565;25376.626530587244
AUT;2006;Solar photovoltaic;22.387;;90958.46100452187;83226.99181913752
AUT;2007;Onshore wind energy;991.159;;27734.018066215565;25515.29662091832
AUT;2007;Solar photovoltaic;24.238000000000003;;90958.46100452187;83681.78412416013
AUT;2008;Onshore wind energy;991.974;;27734.018066215565;25653.9667112494
AUT;2008;Solar photovoltaic;30.12;;90958.46100452187;84136.57642918274
AUT;2009;Onshore wind energy;1000.985;;27734.018066215565;25792.636801580476
AUT;2009;Solar photovoltaic;48.915;;90958.46100452187;84591.36873420535
AUT;2010;Onshore wind energy;1015.828;;27734.018066215565;25931.306891911554
AUT;2010;Solar photovoltaic;88.813;;90958.46100452187;85046.16103922795
AUT;2011;Onshore wind energy;1105.966;;27734.018066215565;26069.97698224263
AUT;2011;Solar photovoltaic;174.07000000000002;;90958.46100452187;85500.95334425056
AUT;2012;Onshore wind energy;1337.15;;27734.018066215565;26208.64707257371
AUT;2012;Solar photovoltaic;337.483;;90958.46100452187;85955.74564927317
AUT;2013;Onshore wind energy;1674.538;;27734.018066215565;26347.317162904787
AUT;2013;Solar photovoltaic;625.974;;90958.46100452187;86410.53795429578
AUT;2014;Onshore wind energy;2110.275;;27734.018066215565;26485.987253235864
AUT;2014;Solar photovoltaic;785.246;;90958.46100452187;86865.33025931839
AUT;2015;Onshore wind energy;2488.726;;27734.018066215565;26624.65734356694
AUT;2015;Solar photovoltaic;937.098;;90958.46100452187;87320.122564341
AUT;2016;Onshore wind energy;2729.996;;27734.018066215565;26763.32743389802
AUT;2016;Solar photovoltaic;1096.016;;90958.46100452187;87774.91486936361
AUT;2017;Onshore wind energy;2886.698;;27734.018066215565;26901.997524229097
AUT;2017;Solar photovoltaic;1268.971;;90958.46100452187;88229.70717438622
AUT;2018;Onshore wind energy;3132.713;;27734.018066215565;27040.667614560178
AUT;2018;Solar photovoltaic;1455.1319999999998;;90958.46100452187;88684.49947940883
AUT;2019;Onshore wind energy;3224.117;;27734.018066215565;27179.337704891255
AUT;2019;Solar photovoltaic;1702.0929999999998;;90958.46100452187;89139.29178443144
AUT;2020;Onshore wind energy;3225.979;;27734.018066215565;27318.007795222333
AUT;2020;Solar photovoltaic;2042.934;;90958.46100452187;89594.08408945405
AUT;2021;Onshore wind energy;3407.811;;27734.018066215565;27456.67788555341
AUT;2021;Solar photovoltaic;2782.6020000000003;;90958.46100452187;90048.87639447665
AUT;2022;Onshore wind energy;3579.236;;27734.018066215565;27595.347975884488
AUT;2022;Solar photovoltaic;3791.704;;90958.46100452187;90503.66869949926
AUT;2023;Onshore wind energy;3977.236;4308.59298055968;27734.018066215565;27734.018066215565
AUT;2023;Solar photovoltaic;6831.704;6084.743491733859;90958.46100452187;90958.46100452187
AUT;2024;Onshore wind energy;;4721.501817682736;27734.018066215565;27872.688156546643
AUT;2024;Solar photovoltaic;;8274.840921895995;90958.46100452187;91413.25330954448
AUT;2025;Onshore wind energy;;5166.982286718459;27734.018066215565;28011.35824687772
AUT;2025;Solar photovoltaic;;11168.4539373463;90958.46100452187;91868.04561456709
AUT;2026;Onshore wind energy;;5646.254130219416;27734.018066215565;28150.028337208798
AUT;2026;Solar photovoltaic;;14925.377407689712;90958.46100452187;92322.8379195897
AUT;2027;Onshore wind energy;;6160.3231403988675;27734.018066215565;28288.698427539875
AUT;2027;Solar photovoltaic;;19694.094229582442;90958.46100452187;92777.63022461231
AUT;2028;Onshore wind energy;;6709.929772545877;27734.018066215565;28427.368517870953
AUT;2028;Solar photovoltaic;;25576.29908053676;90958.46100452187;93232.42252963492
AUT;2029;Onshore wind energy;;7295.496382890671;27734.018066215565;28566.038608202034
AUT;2029;Solar photovoltaic;;32581.106379169087;90958.46100452187;93687.21483465753
AUT;2030;Onshore wind energy;;7917.075016369316;27734.018066215565;28704.70869853311
AUT;2030;Solar photovoltaic;;40581.533557371426;90958.46100452187;94142.00713968014
AUT;2031;Onshore wind energy;;8574.2980801026;27734.018066215565;28843.37878886419
AUT;2031;Solar photovoltaic;;49294.64632368885;90958.46100452187;94596.79944470274
AUT;2032;Onshore wind energy;;9266.334578615173;27734.018066215565;28982.048879195267
AUT;2032;Solar photovoltaic;;58305.86070323786;90958.46100452187;95051.59174972535
AUT;2033;Onshore wind energy;;9991.854805174095;27734.018066215565;29120.718969526344
AUT;2033;Solar photovoltaic;;67140.62992348264;90958.46100452187;95506.38405474796
AUT;2034;Onshore wind energy;;10749.00642746335;27734.018066215565;29259.38905985742
AUT;2034;Solar photovoltaic;;75360.24609329556;90958.46100452187;95961.17635977057
AUT;2035;Onshore wind energy;;11535.404728698628;27734.018066215565;29398.0591501885
AUT;2035;Solar photovoltaic;;82643.05142764862;90958.46100452187;96415.96866479318
AUT;2036;Onshore wind energy;;12348.139335662621;27734.018066215565;29536.729240519577
AUT;2036;Solar photovoltaic;;88821.82556097084;90958.46100452187;96870.76096981579
AUT;2037;Onshore wind energy;;13183.799074876555;27734.018066215565;29675.399330850654
AUT;2037;Solar photovoltaic;;93873.86713298733;90958.46100452187;97325.5532748384
AUT;2038;Onshore wind energy;;14038.51566953928;27734.018066215565;29814.06942118173
AUT;2038;Solar photovoltaic;;97780.34557986101;90958.46100452187;97780.34557986101
AUT;2039;Onshore wind energy;;14908.025879032954;27734.018066215565;29952.73951151281
AUT;2039;Solar photovoltaic;;98235.13788488362;90958.46100452187;98235.13788488362
AUT;2040;Onshore wind energy;;15787.750477662878;27734.018066215565;30091.409601843887
AUT;2040;Solar photovoltaic;;98689.93018990623;90958.46100452187;98689.93018990623
AUT;2041;Onshore wind energy;;16672.887281888725;27734.018066215565;30230.079692174964
AUT;2041;Solar photovoltaic;;99144.72249492884;90958.46100452187;99144.72249492884
AUT;2042;Onshore wind energy;;17558.51438821353;27734.018066215565;30368.749782506045
AUT;2042;Solar photovoltaic;;99599.51479995144;90958.46100452187;99599.51479995144
AUT;2043;Onshore wind energy;;18439.69899330678;27734.018066215565;30507.419872837123
AUT;2043;Solar photovoltaic;;100054.30710497405;90958.46100452187;100054.30710497405
AUT;2044;Onshore wind energy;;19311.606725769678;27734.018066215565;30646.0899631682
AUT;2044;Solar photovoltaic;;100509.09940999668;90958.46100452187;100509.09940999668
AUT;2045;Onshore wind energy;;20169.606378088192;27734.018066215565;30784.760053499278
AUT;2045;Solar photovoltaic;;100963.89171501927;90958.46100452187;100963.89171501927
AUT;2046;Onshore wind energy;;21009.365292674443;27734.018066215565;30923.430143830356
AUT;2046;Solar photovoltaic;;101418.6840200419;90958.46100452187;101418.6840200419
AUT;2047;Onshore wind energy;;21826.9313836701;27734.018066215565;31062.100234161433
