Object_class;Object_names;Parameter_name;Alternative;Paramter_value
unit;Wind|WINDInvest1|BHS;candidate_units;Base;6.564128474863054
unit;Wind|WINDInvest2|BHS;candidate_units;Base;6.564128474863046
unit;Wind|WINDInvest3|BHS;candidate_units;Base;6.564128474818169
unit;Wind|WINDInvest4|BHS;candidate_units;Base;6.56412847490793
unit;Wind|WIND_OFFSHOREInvest0|BHS;candidate_units;Base;143.12434989974446
unit;Wind|WIND_OFFSHOREInvest1|BHS;candidate_units;Base;149.79011280039853
unit;Wind|WIND_OFFSHOREInvest2|BHS;candidate_units;Base;158.51908476149367
unit;Wind|WIND_OFFSHOREInvest3|BHS;candidate_units;Base;161.58356299914593
unit;Wind|WIND_OFFSHOREInvest4|BHS;candidate_units;Base;162.41184379669815
unit;Solar|PVInvest0|BIH;candidate_units;Base;103.78733756990394
unit;Solar|PVInvest1|BIH;candidate_units;Base;103.78733756939616
unit;Solar|PVInvest2|BIH;candidate_units;Base;107.07494220413776
unit;Solar|PVInvest3|BIH;candidate_units;Base;110.94470529605266
unit;Solar|PVInvest4|BIH;candidate_units;Base;111.78526001003782
unit;Wind|WINDInvest0|BIH;candidate_units;Base;33.0103578939052
unit;Wind|WINDInvest1|BIH;candidate_units;Base;33.010357893558826
unit;Wind|WINDInvest2|BIH;candidate_units;Base;33.01035789350437
unit;Wind|WINDInvest3|BIH;candidate_units;Base;33.010357893902494
unit;Wind|WINDInvest4|BIH;candidate_units;Base;33.01035789353188
unit;Solar|PVInvest0|BLR;candidate_units;Base;227.24202218245813
unit;Solar|PVInvest1|BLR;candidate_units;Base;230.25018091265648
unit;Solar|PVInvest2|BLR;candidate_units;Base;233.61697497121673
unit;Solar|PVInvest3|BLR;candidate_units;Base;237.82657031188933
unit;Solar|PVInvest4|BLR;candidate_units;Base;239.93573930635088
unit;Wind|WINDInvest0|BLR;candidate_units;Base;112.24132911535851
unit;Wind|WINDInvest1|BLR;candidate_units;Base;114.38244350592088
unit;Wind|WINDInvest2|BLR;candidate_units;Base;122.01099751369989
unit;Wind|WINDInvest3|BLR;candidate_units;Base;123.30605887702781
unit;Wind|WINDInvest4|BLR;candidate_units;Base;124.718711357114
unit;Solar|PVInvest0|BOL;candidate_units;Base;1450.2795505040701
unit;Solar|PVInvest1|BOL;candidate_units;Base;1464.0574056135717
unit;Solar|PVInvest2|BOL;candidate_units;Base;1500.4138039132617
unit;Solar|PVInvest3|BOL;candidate_units;Base;1522.0539404560488
unit;Solar|PVInvest4|BOL;candidate_units;Base;1533.797186980354
unit;Wind|WINDInvest0|BOL;candidate_units;Base;151.91962171064736
unit;Wind|WINDInvest1|BOL;candidate_units;Base;151.91962171135694
unit;Wind|WINDInvest2|BOL;candidate_units;Base;151.91962171224836
unit;Wind|WINDInvest3|BOL;candidate_units;Base;151.91962171009888
unit;Wind|WINDInvest4|BOL;candidate_units;Base;174.60988333702142
unit;Solar|PVInvest0|BRA;candidate_units;Base;13288.384077822318
unit;Solar|PVInvest1|BRA;candidate_units;Base;13779.944025506822
unit;Solar|PVInvest2|BRA;candidate_units;Base;14072.669698873777
unit;Solar|PVInvest3|BRA;candidate_units;Base;14369.711383758413
unit;Solar|PVInvest4|BRA;candidate_units;Base;14623.233930883363
unit;Wind|WINDInvest0|BRA;candidate_units;Base;3076.9716749658905
unit;Wind|WINDInvest1|BRA;candidate_units;Base;3535.077433005677
unit;Wind|WINDInvest2|BRA;candidate_units;Base;3805.114904905359
unit;Wind|WINDInvest3|BRA;candidate_units;Base;4140.725236864244
unit;Wind|WINDInvest4|BRA;candidate_units;Base;5334.436594329432
unit;Wind|WIND_OFFSHOREInvest0|BRA;candidate_units;Base;907.5267113400326
unit;Wind|WIND_OFFSHOREInvest1|BRA;candidate_units;Base;969.8119343667582
unit;Wind|WIND_OFFSHOREInvest2|BRA;candidate_units;Base;1012.7948531402848
unit;Wind|WIND_OFFSHOREInvest3|BRA;candidate_units;Base;1043.0167616145025
unit;Wind|WIND_OFFSHOREInvest4|BRA;candidate_units;Base;1065.8602492463208
unit;Solar|PVInvest0|BRB;candidate_units;Base;0.8340262568556802
unit;Solar|PVInvest1|BRB;candidate_units;Base;0.8340262568556802
unit;Solar|PVInvest2|BRB;candidate_units;Base;0.83402625685568
unit;Solar|PVInvest3|BRB;candidate_units;Base;0.8340262568556805
unit;Solar|PVInvest4|BRB;candidate_units;Base;0.8340262568556797
unit;Wind|WIND_OFFSHOREInvest0|BRB;candidate_units;Base;11.761947889847098
unit;Wind|WIND_OFFSHOREInvest1|BRB;candidate_units;Base;11.761947889887852
unit;Wind|WIND_OFFSHOREInvest2|BRB;candidate_units;Base;11.761947889847102
unit;Wind|WIND_OFFSHOREInvest3|BRB;candidate_units;Base;11.761947889724842
